date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily
2021-03-25,65986,0.06213014130073508,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,161.0,118.42857142857143,113.35714285714286,0.07383419689119175,0.022551546391752497,0.15827338129496393
2021-03-26,66113,0.06224972011965414,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,127.0,117.71428571428571,114.21428571428571,-0.006031363088057962,0.007561436672967714,-0.21118012422360244
2021-03-27,66250,0.06237871459360621,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,137.0,120.28571428571429,114.5,0.02184466019417486,0.00250156347717323,0.07874015748031504
2021-03-28,66392,0.06251241689507477,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,142.0,126.71428571428571,115.64285714285714,0.053444180522565166,0.00998128509045526,0.03649635036496357
2021-03-29,66491,0.06260563187990144,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,99.0,127.85714285714286,116.71428571428571,0.00901916572717032,0.009264978381717137,-0.30281690140845074
2021-03-30,66589,0.06269790529922481,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,98.0,129.0,118.21428571428571,0.00893854748603351,0.012851897184822603,-0.010101010101010055
2021-03-31,66704,0.06280618533210428,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,115.0,125.57142857142857,117.92857142857143,-0.02657807308970106,-0.0024169184290029344,0.17346938775510212
2021-04-01,66831,0.06292576415102334,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,127.0,120.71428571428571,119.57142857142857,-0.03868031854379983,0.013930950938825015,0.10434782608695659
2021-04-02,66951,0.0630387520114193,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,120.0,119.71428571428571,118.71428571428571,-0.008284023668639007,-0.007168458781362075,-0.055118110236220486
2021-04-03,67061,0.06314232421678227,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,110.0,115.85714285714286,118.07142857142857,-0.03221957040572787,-0.005415162454873612,-0.08333333333333337
2021-04-04,67212,0.06328450060778053,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,151.0,117.14285714285714,121.92857142857143,0.011097410604192337,0.03266787658802173,0.3727272727272728
2021-04-05,67303,0.0633701830685808,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,91.0,116.0,121.92857142857143,-0.009756097560975618,0.0,-0.3973509933774835
2021-04-06,67375,0.06343797578481838,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,72.0,112.28571428571429,120.64285714285714,-0.03201970443349744,-0.010544815465729385,-0.20879120879120883
2021-04-07,67505,0.06356037930024735,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,130.0,114.42857142857143,120.0,0.01908396946564883,-0.005328596802841923,0.8055555555555556
2021-04-08,67613,0.06366206837460373,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,108.0,111.71428571428571,116.21428571428571,-0.02372034956304625,-0.03154761904761905,-0.16923076923076918
2021-04-09,67773,0.06381271885513168,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,160.0,117.42857142857143,118.57142857142857,0.051150895140664954,0.020282728948985973,0.4814814814814814
2021-04-10,67911,0.06394265489458703,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,138.0,121.42857142857143,118.64285714285714,0.03406326034063256,0.00060240963855418,-0.13749999999999996
2021-04-11,68042,0.0640659999755193,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,131.0,118.57142857142857,117.85714285714286,-0.02352941176470591,-0.0066225165562913135,-0.050724637681159424
2021-04-12,68144,0.06416203965685587,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,102.0,120.14285714285714,118.07142857142857,0.013253012048192847,0.0018181818181817189,-0.22137404580152675
2021-04-13,68260,0.06427126125523863,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,116.0,126.42857142857143,119.35714285714286,0.05231866825208087,0.010889292196007316,0.13725490196078427
2021-04-14,68377,0.0643814244191247,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,117.0,124.57142857142857,119.5,-0.014689265536723228,0.0011968880909634105,0.008620689655172376
2021-04-15,68487,0.06448499662448767,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,110.0,124.85714285714286,118.28571428571429,0.002293577981651529,-0.010161386730424327,-0.05982905982905984
2021-04-16,68623,0.06461304953293644,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,136.0,121.42857142857143,119.42857142857143,-0.027459954233409634,0.009661835748792313,0.23636363636363633
2021-04-17,68718,0.0647024982557499,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,95.0,115.28571428571429,118.35714285714286,-0.0505882352941176,-0.008971291866028741,-0.30147058823529416
2021-04-18,68842,0.06481925237815907,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,124.0,114.28571428571429,116.42857142857143,-0.008674101610904539,-0.016294508147254083,0.3052631578947369
2021-04-19,68865,0.06484090838473497,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,23.0,103.0,111.57142857142857,-0.09875,-0.041717791411042926,-0.814516129032258
2021-04-20,68945,0.06491623362499895,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,80.0,97.85714285714286,112.14285714285714,-0.04993065187239942,0.005121638924455718,2.4782608695652173
2021-04-21,69049,0.06501415643734211,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,104.0,96.0,110.28571428571429,-0.01897810218978102,-0.016560509554140013,0.30000000000000004
2021-04-22,69147,0.06510642985666548,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,98.0,94.28571428571429,109.57142857142857,-0.017857142857142794,-0.006476683937823857,-0.05769230769230771
2021-04-23,69238,0.06519211231746576,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,91.0,87.85714285714286,104.64285714285714,-0.06818181818181823,-0.04498044328552808,-0.0714285714285714
2021-04-24,69334,0.06528250260578253,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,96.0,88.0,101.64285714285714,0.001626016260162455,-0.02866894197952219,0.05494505494505497
2021-04-25,69420,0.06536347723906631,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,86.0,82.57142857142857,98.42857142857143,-0.06168831168831168,-0.03162333099086434,-0.10416666666666663
2021-04-26,69476,0.06541620490725109,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,56.0,87.28571428571429,95.14285714285714,0.05709342560553643,-0.03338171262699574,-0.34883720930232553
2021-04-27,69528,0.06546516631342268,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,52.0,83.28571428571429,90.57142857142857,-0.04582651391162029,-0.048048048048048075,-0.0714285714285714
2021-04-28,69624,0.06555555660173945,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,96.0,82.14285714285714,89.07142857142857,-0.013722126929674228,-0.016561514195583604,0.8461538461538463
2021-04-29,69735,0.06566007037260571,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,111.0,84.0,89.14285714285714,0.02260869565217405,0.000801924619085792,0.15625
2021-04-30,69805,0.0657259799578367,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,70.0,81.0,84.42857142857143,-0.0357142857142857,-0.05288461538461531,-0.36936936936936937
2021-05-01,69873,0.06579000641206108,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,68.0,77.0,82.5,-0.04938271604938271,-0.022842639593908642,-0.02857142857142858
2021-05-02,69922,0.06583614312172277,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,49.0,71.71428571428571,77.14285714285714,-0.06864564007421159,-0.06493506493506496,-0.27941176470588236
2021-05-03,69964,0.06587568887286135,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,42.0,69.71428571428571,78.5,-0.027888446215139417,0.017592592592592604,-0.1428571428571429
2021-05-04,70006,0.06591523462399994,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,42.0,68.28571428571429,75.78571428571429,-0.02049180327868838,-0.034576888080072754,0.0
2021-05-05,70075,0.06598020264372761,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,69.0,64.42857142857143,73.28571428571429,-0.05648535564853563,-0.032987747408105506,0.6428571428571428
