date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily,log_cases,log_daily,log_14D_avg,log_ravg,pct_chg_log,log_ravg_pct,Rail,Adjusted_Bus,Rail.1,Bus,ravg_rail,ravg_bus,fatal,injury,pdo,total,total_crash_7d,total_crash_14d
2021-03-16,64934,0.06113961439126377,107268.161,161433.272,99833.734,197543.346,494920.426,1,77.0,109.71428571428572,102.5,-0.010309278350515538,-0.01846785225718195,-0.08333333333333337,11.081126648410208,0.001186523087634228,11.07065081097131,11.076399102122394,-0.08447043856045466,0.00015347587195657653,88000,161000,-0.37,0.03,80857.14285714286,151000.0,0.0,5.0,12.0,17.0,20.714285714285715,21.642857142857142
2021-03-17,65053,0.06125166068615645,107268.161,161433.272,99833.734,197543.346,494920.426,1,119.0,111.42857142857143,104.14285714285714,0.015625,0.016027874564459976,0.5454545454545454,11.082957601247717,0.0018309528375084483,11.072269916068606,11.078122342964523,0.5431244925533887,0.00015557771313945423,96000,175000,-0.13,0.6,81571.42857142857,152714.2857142857,0.0,8.0,16.0,24.0,21.428571428571427,21.285714285714285
2021-03-18,65157,0.061349583498499616,107268.161,161433.272,99833.734,197543.346,494920.426,1,104.0,108.28571428571428,103.92857142857143,-0.02820512820512822,-0.002057613168724215,-0.12605042016806722,11.08455502114043,0.0015974198927128924,11.07388304341852,11.079794005410076,-0.1275472202295207,0.00015089763353381969,86000,152000,-0.1,0.34,80142.85714285714,149428.57142857142,0.0,6.0,18.0,24.0,20.285714285714285,21.928571428571427
2021-03-19,65289,0.061473870144935175,107268.161,161433.272,99833.734,197543.346,494920.426,1,132.0,110.71428571428572,106.64285714285714,0.0224274406332452,0.026116838487972416,0.2692307692307692,11.086578847782176,0.0020238266417464956,11.0755354060142,11.081499907451162,0.2669346681976259,0.0001539651405300102,95000,176000,0.12,0.56,81571.42857142857,152428.57142857142,0.0,12.0,21.0,33.0,21.571428571428573,22.071428571428573
2021-03-20,65408,0.06158591643982785,107268.161,161433.272,99833.734,197543.346,494920.426,1,119.0,108.71428571428572,107.85714285714286,-0.01806451612903226,0.011386470194239884,-0.09848484848484852,11.088399854123322,0.0018210063411459032,11.077203728382203,11.083171746695777,-0.1002162420520194,0.00015086759541382833,64000,125000,1.08,1.01,83000.0,154000.0,0.0,10.0,7.0,17.0,21.285714285714285,21.357142857142858
2021-03-21,65505,0.06167724829364792,107268.161,161433.272,99833.734,197543.346,494920.426,1,97.0,104.57142857142857,108.42857142857143,-0.03810775295663593,0.005298013245033095,-0.18487394957983194,11.08988175458777,0.0014819004644479605,11.078878481087822,11.084777121802025,-0.18621894335884293,0.00014484798602221183,48000,95000,1.1,1.98,85285.71428571429,154571.42857142858,0.0,5.0,15.0,20.0,22.142857142857142,21.428571428571427
2021-03-22,65596,0.061762930754448185,107268.161,161433.272,99833.734,197543.346,494920.426,1,91.0,105.57142857142857,108.21428571428572,0.0095628415300546,-0.0019762845849803368,-0.061855670103092786,11.091269997463336,0.001388242875565382,11.080547538969943,11.086395674964992,-0.06320099840002957,0.0001460158508539422,89000,173000,0.46,1.13,84000.0,152714.2857142857,0.0,7.0,14.0,21.0,22.285714285714285,21.714285714285715
2021-03-23,65686,0.061847671649745174,107268.161,161433.272,99833.734,197543.346,494920.426,1,90.0,107.42857142857143,108.57142857142857,0.017591339648173276,0.003300330033003229,-0.01098901098901095,11.092641091963714,0.0013710945003779784,11.082219848797532,11.088040595472636,-0.012352575683429734,0.00014837288473823484,93000,173000,0.54,1.0,85142.85714285714,153571.42857142858,0.0,4.0,14.0,18.0,22.428571428571427,21.571428571428573
2021-03-24,65825,0.06197854925470383,107268.161,161433.272,99833.734,197543.346,494920.426,1,139.0,110.28571428571428,110.85714285714286,0.02659574468085113,0.021052631578947437,0.5444444444444445,11.09475498436451,0.002113892400796402,11.083924139441224,11.089725935917894,0.5417554371443047,0.00015199623691364295,86000,152000,0.62,0.89,87428.57142857143,155857.14285714287,0.0,6.0,9.0,15.0,21.142857142857142,21.285714285714285
2021-03-25,65986,0.062130141300735076,107268.161,161433.272,99833.734,197543.346,494920.426,1,161.0,118.42857142857143,113.35714285714286,0.07383419689119175,0.022551546391752497,0.15827338129496393,11.097197877295555,0.0024428929310449377,11.085663031817935,11.091532058225768,0.1556373115890788,0.0001628644673736801,96000,173000,0.92,1.0,88142.85714285714,157714.2857142857,0.0,2.0,11.0,13.0,19.571428571428573,19.928571428571427
2021-03-26,66113,0.062249720119654135,107268.161,161433.272,99833.734,197543.346,494920.426,1,127.0,117.71428571428572,114.21428571428572,-0.006031363088057962,0.007561436672967714,-0.21118012422360244,11.099120678211964,0.001922800916409173,11.087411827869179,11.093323748287165,-0.21290004487151115,0.0001615367518204014,105000,187000,1.14,1.01,88857.14285714286,158714.2857142857,1.0,11.0,23.0,35.0,19.857142857142858,20.714285714285715
2021-03-27,66250,0.062378714593606215,107268.161,161433.272,99833.734,197543.346,494920.426,1,137.0,120.28571428571428,114.5,0.02184466019417486,0.0025015634771732302,0.07874015748031504,11.101190743848468,0.002070065636504026,11.089161382471854,11.0951510182479,0.0765886467174508,0.00016471798734052356,80000,129000,3.16,2.39,89142.85714285714,157428.57142857142,1.0,9.0,13.0,23.0,20.714285714285715,21.0
2021-03-28,66392,0.06251241689507478,107268.161,161433.272,99833.734,197543.346,494920.426,1,142.0,126.71428571428572,115.64285714285714,0.053444180522565166,0.009981285090455259,0.03649635036496357,11.103331846278284,0.002141102429815689,11.090924790860015,11.097072459917973,0.034316203341084206,0.00017317850535891743,39000,82000,1.41,1.74,90428.57142857143,157714.2857142857,1.0,1.0,3.0,5.0,18.571428571428573,20.357142857142858
2021-03-29,66491,0.06260563187990144,107268.161,161433.272,99833.734,197543.346,494920.426,1,99.0,127.85714285714286,116.71428571428572,0.00901916572717032,0.009264978381717135,-0.30281690140845074,11.10482187913902,0.0014900328607367896,11.092702058989762,11.099008443014501,-0.3040814675713318,0.00017445890378042783,97000,179000,4.93,1.04,94000.0,159857.14285714287,0.0,11.0,13.0,24.0,19.0,20.642857142857142
2021-03-30,66589,0.06269790529922481,107268.161,161433.272,99833.734,197543.346,494920.426,1,98.0,129.0,118.21428571428572,0.00893854748603351,0.012851897184822604,-0.010101010101010057,11.106294677722047,0.0014727985830269574,11.094499775369178,11.100958955265693,-0.011566374248491607,0.00017573752296939915,109000,189000,1.37,1.4,94857.14285714286,161000.0,0.0,6.0,6.0,12.0,18.142857142857142,20.285714285714285
2021-03-31,66704,0.06280618533210428,107268.161,161433.272,99833.734,197543.346,494920.426,1,115.0,125.57142857142857,117.92857142857143,-0.02657807308970106,-0.0024169184290029344,0.17346938775510212,11.108020200120578,0.0017255223985301882,11.096289961002954,11.102853986087988,0.17159428208018923,0.0001707087495712578,91000,165000,1.19,0.99,94428.57142857143,160857.14285714287,0.0,7.0,9.0,16.0,18.285714285714285,19.714285714285715
